name,city,postal_code,address_line,website,source_url,source_type,trades,confidence_score,status,ready_for_import,needs_review
"Sebastian Pauker Bauunternehmen GmbH","Alteiselfing","83549","Unterdorfstraße 7","https://www.pauker-bau-gmbh.de/","https://www.openstreetmap.org/node/11084939459","openstreetmap_hint_odbl","bauunternehmen","92","review","true","false"
"Andreas Fischer Malerbetrieb GmbH","Aschau im Chiemgau","83229","Bahnhofstraße 11","https://malerfischeraschau.de/","https://www.openstreetmap.org/node/10155353589","openstreetmap_hint_odbl","malerarbeiten","92","review","true","false"
"Messer Werk Damaszenerstahl","Aschau im Chiemgau","83229","Am Hofbichl 9","https://www.messer-werk.de/","https://www.openstreetmap.org/node/11114187826","openstreetmap_hint_odbl","metallbau","92","review","true","false"
"Möbelwerkstätte Christian Deml","Aschau im Chiemgau","83229","Kampenwandstraße 8","https://www.demldesign.de/","https://www.openstreetmap.org/node/10155353595","openstreetmap_hint_odbl","schreinerarbeiten|innenausbau","92","review","true","false"
"AB-Form Teck","Bad Aibling","83043","Carl-von-Ossietzky-Straße 12","https://www.ab-form.tech/","https://www.openstreetmap.org/node/12058948833","openstreetmap_hint_odbl","metallbau","92","review","true","false"
"Bautrocknung Jaist","Bad Aibling","83043","Gewerbepark Markfeld 2","https://bautrocknung-jaist.de/","https://www.openstreetmap.org/node/12078004829","openstreetmap_hint_odbl","bauwerksabdichtung","92","review","true","false"
"Der Holzladen","Bad Aibling","83043","Eugen-Belz-Straße 17","https://www.holzladen-bad-aibling.de/","https://www.openstreetmap.org/node/7180407394","openstreetmap_hint_odbl","schreinerarbeiten|innenausbau","92","review","true","false"
"Die Glaser","Bad Aibling","83043","Wildstraße 7","https://www.glasboehm.de","https://www.openstreetmap.org/node/7192416873","openstreetmap_hint_odbl","fenster-tueren","92","review","true","false"
"Folgner GmbH","Bad Aibling","83043","Gewerbepark Markfeld 9","https://www.folgner-rolladen.de/","https://www.openstreetmap.org/way/1304434604","openstreetmap_hint_odbl","sonnenschutz","92","review","true","false"
"Franke Naturstein","Bad Aibling","83043","Ellmosener Straße 19a","https://www.frankenaturstein.de/","https://www.openstreetmap.org/node/11645477061","openstreetmap_hint_odbl","natursteinarbeiten","92","review","true","false"
"Geisler GmbH","Bad Aibling","83043","Gewerbepark Markfeld 1a","http://www.geisler-cnc.de","https://www.openstreetmap.org/node/7185914999","openstreetmap_hint_odbl","metallbau","92","review","true","false"
